t, t*, dt, mgp.i, mgu.i, grid->tn, perf.t, perf.speed
0, 0, 1, 0, 0, 492136, 0, 0
3.84615e-06, 0.000424403, 3.84615e-06, 9, 2, 281212, 12.3139, 22837
1.11708e-05, 0.00123264, 7.32466e-06, 6, 2, 286140, 16.9085, 33554.3
1.24327e-05, 0.00137188, 1.26188e-06, 4, 1, 292356, 20.6568, 41618.7
1.36984e-05, 0.00151155, 1.26571e-06, 4, 1, 292895, 24.5352, 46977.6
1.49711e-05, 0.00165198, 1.27265e-06, 3, 1, 292916, 27.9957, 51633.6
1.62544e-05, 0.00179359, 1.28339e-06, 3, 1, 293168, 31.4615, 55264
1.75488e-05, 0.00193642, 1.2944e-06, 3, 1, 292958, 35.0479, 57967.7
1.88569e-05, 0.00208076, 1.30806e-06, 2, 1, 293049, 38.2235, 60818.4
2.01784e-05, 0.00222658, 1.32152e-06, 2, 1, 293077, 41.2294, 63492.7
2.15133e-05, 0.00237389, 1.33491e-06, 2, 1, 293077, 43.946, 66236.9
2.2863e-05, 0.00252281, 1.34964e-06, 2, 1, 293217, 46.8047, 68456.1
2.42294e-05, 0.00267358, 1.36639e-06, 2, 1, 293469, 49.8332, 70184.9
2.56115e-05, 0.00282609, 1.38211e-06, 2, 1, 293476, 53.0248, 71495
2.70146e-05, 0.00298092, 1.40311e-06, 2, 1, 293581, 56.1505, 72743.6
2.84392e-05, 0.00313811, 1.42458e-06, 2, 1, 293693, 58.9637, 74253.9
2.98849e-05, 0.00329765, 1.44578e-06, 3, 1, 293588, 62.5553, 74683.8
3.1357e-05, 0.00346009, 1.4721e-06, 3, 1, 293931, 66.3577, 74833.8
3.28588e-05, 0.0036258, 1.50177e-06, 2, 1, 294267, 69.8768, 75276.3
3.43891e-05, 0.00379466, 1.53029e-06, 3, 1, 294673, 73.8951, 75170.7
3.59516e-05, 0.00396707, 1.56248e-06, 2, 1, 294988, 77.33, 75646.4
3.75503e-05, 0.00414348, 1.59875e-06, 2, 1, 295394, 80.6804, 76166.3
3.91871e-05, 0.0043241, 1.63682e-06, 2, 1, 295261, 83.865, 76794.7
4.0861e-05, 0.0045088, 1.67389e-06, 2, 1, 295121, 87.1014, 77329.5
4.25738e-05, 0.0046978, 1.71275e-06, 2, 1, 295352, 90.3737, 77797.6
4.43241e-05, 0.00489094, 1.75032e-06, 2, 1, 295464, 93.7247, 78168.5
4.61138e-05, 0.00508841, 1.78966e-06, 3, 1, 296206, 97.1202, 78485.5
4.79446e-05, 0.00529044, 1.83088e-06, 2, 1, 296178, 100.278, 78967.6
4.98151e-05, 0.00549684, 1.87044e-06, 2, 1, 296255, 103.608, 79289.2
5.17231e-05, 0.00570737, 1.908e-06, 3, 1, 296654, 107.046, 79513.8
5.36743e-05, 0.00592268, 1.95119e-06, 2, 1, 296822, 110.192, 79937.4
5.56665e-05, 0.00614251, 1.99226e-06, 3, 1, 297172, 113.616, 80143.9
5.76973e-05, 0.0063666, 2.03082e-06, 3, 1, 297011, 117.169, 80248.3
5.97729e-05, 0.00659563, 2.07556e-06, 2, 1, 298012, 120.476, 80519.3
6.18905e-05, 0.0068293, 2.11763e-06, 2, 1, 297473, 123.732, 80804.3
6.40521e-05, 0.00706781, 2.16154e-06, 2, 1, 298285, 127, 81073.7
6.62595e-05, 0.00731139, 2.20742e-06, 2, 1, 298138, 130.274, 81325.1
6.85095e-05, 0.00755967, 2.24998e-06, 2, 1, 297662, 133.55, 81558.9
7.08038e-05, 0.00781283, 2.29431e-06, 3, 1, 298348, 136.998, 81683.7
7.31443e-05, 0.0080711, 2.34054e-06, 2, 1, 298992, 140.189, 81957.6
7.55331e-05, 0.00833469, 2.3888e-06, 2, 1, 298558, 143.42, 82192.6
7.79659e-05, 0.00860314, 2.43281e-06, 2, 1, 298488, 146.599, 82446.4
8.04512e-05, 0.00887737, 2.48527e-06, 2, 1, 297977, 150.498, 82290.7
8.29844e-05, 0.0091569, 2.53319e-06, 2, 1, 298537, 154.706, 81981.9
8.55675e-05, 0.00944194, 2.58314e-06, 2, 2, 299069, 158.993, 81652.2
8.82028e-05, 0.00973272, 2.63525e-06, 2, 2, 299209, 163.34, 81311
9.08846e-05, 0.0100286, 2.68176e-06, 2, 2, 299538, 167.611, 81026.2
9.36229e-05, 0.0103308, 2.7383e-06, 3, 2, 299510, 171.854, 80768.7
9.64117e-05, 0.0106385, 2.78885e-06, 2, 2, 299384, 175.959, 80585.9
9.92532e-05, 0.0109521, 2.84147e-06, 2, 2, 298964, 180.425, 80248.2
0.000102149, 0.0112717, 2.89629e-06, 2, 2, 299342, 184.06, 80289.8
0.000105103, 0.0115976, 2.95346e-06, 2, 2, 299447, 187.877, 80252.4
0.000108116, 0.01193, 3.01312e-06, 2, 2, 299475, 191.82, 80163.8
0.000111191, 0.0122693, 3.07465e-06, 2, 2, 299496, 195.688, 80109.7
0.00011432, 0.0126147, 3.12961e-06, 2, 2, 299426, 199.91, 79915.8
0.000117506, 0.0129662, 3.1859e-06, 2, 2, 299552, 204.614, 79542.4
0.000120763, 0.0133255, 3.25643e-06, 3, 2, 299762, 209.281, 79201
0.000124081, 0.0136916, 3.31788e-06, 2, 2, 299370, 213.177, 79157.9
0.000127475, 0.0140662, 3.39445e-06, 3, 2, 299244, 217.706, 78885.6
0.000130937, 0.0144483, 3.4624e-06, 3, 2, 299314, 222.196, 78638.7
0.00013447, 0.0148381, 3.53277e-06, 2, 2, 299937, 225.969, 78652.8
0.000138077, 0.015236, 3.60637e-06, 2, 2, 299230, 229.764, 78656.3
0.00014176, 0.0156425, 3.68343e-06, 2, 2, 299615, 233.605, 78645.5
0.000145524, 0.0160578, 3.76421e-06, 2, 2, 299195, 237.327, 78672.7
0.000149373, 0.0164826, 3.84899e-06, 2, 2, 299328, 241.695, 78489.5
0.000153293, 0.0169151, 3.91994e-06, 2, 2, 299286, 246.051, 78316.3
0.000157306, 0.0173579, 4.01283e-06, 2, 2, 299496, 249.803, 78338.9
0.000161416, 0.0178114, 4.11002e-06, 2, 2, 299321, 253.906, 78251.9
0.000165609, 0.0182741, 4.19292e-06, 2, 2, 299230, 257.856, 78213.4
0.000169888, 0.0187462, 4.27893e-06, 2, 2, 299342, 261.749, 78194
0.000174257, 0.0192283, 4.36901e-06, 2, 2, 299440, 265.715, 78153.6
0.00017872, 0.0197209, 4.46348e-06, 2, 2, 299328, 269.648, 78123.9
0.000183282, 0.0202242, 4.56185e-06, 2, 2, 299433, 273.411, 78143.8
0.000187923, 0.0207363, 4.64044e-06, 2, 2, 299391, 277.1, 78183.9
0.000192644, 0.0212573, 4.72138e-06, 2, 2, 299538, 280.835, 78210.8
0.000197478, 0.0217907, 4.83447e-06, 2, 2, 299510, 284.786, 78177.4
0.000202402, 0.022334, 4.92345e-06, 2, 2, 299447, 288.656, 78166.5
0.000207418, 0.0228875, 5.01634e-06, 2, 2, 299566, 292.663, 78120
0.000212532, 0.0234518, 5.11343e-06, 2, 2, 299489, 297.034, 77978.7
0.000217747, 0.0240272, 5.21502e-06, 2, 2, 299552, 300.852, 77984.8
0.000223068, 0.0246144, 5.32145e-06, 3, 2, 299503, 305.475, 77785.1
0.000228501, 0.0252139, 5.43309e-06, 2, 2, 299545, 309.651, 77703.2
